TYPE,CONC_NM_PBPK_pred,DV_NM
DOSE,0,NA
SAMPLE,28857.374,304.315357192768
SAMPLE,22210.756,157.977490394941
SAMPLE,15787.414,123.375402993436
SAMPLE,5611.498,110.483532472828
SAMPLE,1618.6066,83.6523412382437
SAMPLE,201.74646,78.4973113347139
SAMPLE,6.8036397,60.9520464815263
SAMPLE,0.89760113,67.1916514778414
SAMPLE,0.20464475,52.1873911277507
SAMPLE,0.0027397068,26.8365605219324
DOSE,0,NA
SAMPLE,4708.4293,829.299928174968
SAMPLE,3066.9425,417.122964528933
SAMPLE,2472.497,348.253865293765
SAMPLE,1893.387,287.792056548411
SAMPLE,1450.5292,228.440843614237
SAMPLE,941.019,171.605900313572
SAMPLE,478.79216,126.016347591523
SAMPLE,267.64837,119.043102943508
SAMPLE,160.64331,98.9469933382663
SAMPLE,18.627053,19.2272910962548
DOSE,0,NA
SAMPLE,7332.383,202431.831977285
SAMPLE,5580.7824,108029.359464695
SAMPLE,3826.505,55263.9511194024
SAMPLE,2208.9758,17823.7643407601
SAMPLE,849.9889,4190.79313496546
SAMPLE,178.98482,3608.61769371776
SAMPLE,23.911234,117.478834774702
SAMPLE,12.113615,87.2156862399706
SAMPLE,7.887809,82.5044648574369
SAMPLE,0.29432247,33.0468626561768
DOSE,0,NA
SAMPLE,7332.383,1410.59684276273
SAMPLE,5580.7824,1079.7066108816
SAMPLE,3826.505,373.498642075656
SAMPLE,2208.9758,162.941238081098
SAMPLE,849.9889,43.4520247443873
SAMPLE,178.98482,5.56670133423331
DOSE,0,NA
SAMPLE,10823.22,2556.82657575701
SAMPLE,9522.97,1734.92507366288
SAMPLE,8185.6575,1396.97709649411
SAMPLE,6478.737,1156.79189042104
SAMPLE,4151.2423,993.649485903397
SAMPLE,1751.8439,812.103116860712
SAMPLE,404.68776,480.563098477543
SAMPLE,164.85213,293.086260292833
SAMPLE,93.08717,216.102423387286
SAMPLE,2.3601858,21.5428334546954
DOSE,0,NA
SAMPLE,5367.489,731.405846216512
SAMPLE,3803.545,460.831332638158
SAMPLE,2669.729,420.965667102289
SAMPLE,613.39617,204.412602633866
SAMPLE,140.23739,148.300293626486
SAMPLE,19.187313,95.6332636758106
SAMPLE,7.513561,69.5590495502037
SAMPLE,5.1218644,40.8042964374039
SAMPLE,0.6058154,4.41267261323981
DOSE,0,NA
SAMPLE,32591.07,876.518517827501
SAMPLE,22646.87,447.567990140738
SAMPLE,8374.876,235.122073767643
SAMPLE,2347.4588,202.090187350608
SAMPLE,505.0896,126.169461498709
SAMPLE,206.51148,54.9005183709564
SAMPLE,64.7615,17.9442101460545
SAMPLE,32.619536,5.86929738737441
SAMPLE,25.850123,4.01171100763424
DOSE,0,NA
SAMPLE,9157.542,628.950672135029
SAMPLE,3793.1442,370.23105403364
SAMPLE,1595.2123,244.116516676307
SAMPLE,749.09097,181.603957149688
SAMPLE,226.2012,142.123004242888
SAMPLE,31.76945,114.294899695551
SAMPLE,7.2277873,74.845154287097
SAMPLE,3.6210662,48.8787819137817
SAMPLE,1.8485014,38.8074286977447
SAMPLE,0.008572997,3.07121797877024
DOSE,0,NA
SAMPLE,0,4744.95710543109
SAMPLE,15739.601,3154.53726174134
