TYPE,CONC_NM_PBPK_pred,DV_NM
SAMPLE,604.2645,40.425102012805
SAMPLE,372.17185,6.921790879233
SAMPLE,234.78791,2.93459531068589
DOSE,0,NA
SAMPLE,10775.453,1286.83618953651
SAMPLE,3695.8768,1168.89979737799
SAMPLE,1315.3974,609.514383123542
SAMPLE,643.0151,295.630594130726
SAMPLE,381.97923,130.228655653244
SAMPLE,154.66027,41.7417669998978
SAMPLE,35.47843,10.6449925701221
SAMPLE,13.091329,3.21773272253391
SAMPLE,8.129538,2.19338306602034
DOSE,0,NA
SAMPLE,2597.2364,7233.10861696413
SAMPLE,1342.9652,2553.4543369088
SAMPLE,862.67364,1187.79820261121
SAMPLE,648.6088,369.459236779124
SAMPLE,540.10767,103.733939080236
SAMPLE,389.6665,29.4217559910239
SAMPLE,211.01841,7.71182336369644
SAMPLE,116.686456,3.35557797290122
SAMPLE,65.37019,2.76091847562696
DOSE,0,NA
SAMPLE,16225.4,12713.6600586251
SAMPLE,10118.981,4698.33261688135
SAMPLE,5609.1886,1369.4032995989
SAMPLE,1590.19,538.20659175984
SAMPLE,838.9394,298.013233747209
SAMPLE,533.35416,97.5176653724876
SAMPLE,311.58185,22.1280759940696
SAMPLE,198.33948,6.23172472886098
SAMPLE,133.80842,2.86025479504544
DOSE,0,NA
SAMPLE,4476.4295,17949.5381606607
SAMPLE,2382.1685,12547.3807001622
SAMPLE,1539.1486,8995.23308199401
SAMPLE,1019.2225,2069.46074247824
SAMPLE,885.8146,589.633718366828
SAMPLE,742.2519,193.833650671223
SAMPLE,530.64173,41.0500267169001
SAMPLE,378.8769,93.6981692675437
SAMPLE,271.4199,61.8763102508752
DOSE,0,NA
SAMPLE,11304.031,19727.4245625143
SAMPLE,5666.5707,7088.60227297081
SAMPLE,2686.7692,5148.42819457033
SAMPLE,1042.0587,1214.89535348278
SAMPLE,736.74816,431.342469599063
SAMPLE,525.84344,84.7836046269744
SAMPLE,312.22063,46.960141178841
SAMPLE,197.62966,41.6833564906728
SAMPLE,130.72674,11.0298329807533
SAMPLE,20.796617,2.29640128308225
DOSE,0,NA
SAMPLE,11975.52,4618.46736890641
SAMPLE,5678.2584,1271.56409758481
SAMPLE,2107.1432,697.385536358894
SAMPLE,424.69412,253.064289327363
SAMPLE,285.64867,113.019807713746
SAMPLE,207.69788,44.7739265099686
SAMPLE,127.82443,20.3753127181673
SAMPLE,81.141606,11.0116122998323
SAMPLE,52.31732,5.61750702671516
DOSE,0,NA
SAMPLE,10257.029,38923.240827234
SAMPLE,4921.8664,19140.424034787
SAMPLE,2953.937,8463.13073282302
SAMPLE,1713.2765,1669.68952261177
SAMPLE,1433.184,1241.84629890703
SAMPLE,1268.4458,699.690128384686
SAMPLE,1041.9649,274.918015877092
SAMPLE,846.8954,94.5952772711005
SAMPLE,669.58874,14.780764255749
DOSE,0,NA
SAMPLE,12346.287,32413.4089908546
SAMPLE,5309.5036,15263.444437355
SAMPLE,2491.7376,7572.71607524082
SAMPLE,1467.5459,1605.74827792931
SAMPLE,1079.0191,501.336629557174
SAMPLE,574.22036,193.970740796219
SAMPLE,172.62454,49.2040707028668
SAMPLE,68.92202,29.1216871938196
SAMPLE,34.623902,19.9474407866277
DOSE,0,NA
SAMPLE,22948.513,8232.43887121181
SAMPLE,16369.497,4878.50621410098
SAMPLE,10244.966,3069.02376100023
SAMPLE,3894.4294,2122.59654413762
SAMPLE,2293.2916,1473.10916499223
SAMPLE,1247.6032,1335.14672845782
SAMPLE,382.5933,784.286665735976
SAMPLE,138.50969,251.39436581741
SAMPLE,73.99814,133.558807592777
SAMPLE,6.6418503,6.19301725097483
DOSE,0,NA
SAMPLE,4757.631,38264.0747626619
SAMPLE,2840.7745,19394.4120203381
SAMPLE,2277.6027,10065.6935408805
SAMPLE,1796.3438,3152.18931596245
SAMPLE,1670.9775,1009.0226412632
SAMPLE,1545.303,350.407513420035
SAMPLE,1325.9242,110.262412275093
SAMPLE,1137.8735,96.7593910482141
SAMPLE,975.8387,57.333995202703
SAMPLE,273.0396,3.21054511762496
DOSE,0,NA
SAMPLE,13945.661,9016.54466249013
SAMPLE,7546.493,2163.52761563599
SAMPLE,3453.7964,661.537677843662
SAMPLE,664.78705,185.483560942324
SAMPLE,329.38075,76.6006758620533
SAMPLE,195.72267,33.961231988706
SAMPLE,127.49422,13.2920568528215
SAMPLE,93.459964,3.39480250720352
SAMPLE,68.95255,2.25075624730784
DOSE,0,NA
SAMPLE,10154.203,6243.82311195234
SAMPLE,3639.9515,2122.5987140722
SAMPLE,1194.9214,1134.67185779052
SAMPLE,615.5098,349.886980421751
