TYPE,CONC_NM_PBPK_pred,DV_NM
SAMPLE,288.3349,6.921790879233
SAMPLE,225.27826,2.93459531068589
DOSE,0,NA
SAMPLE,20461.119,1286.83618953651
SAMPLE,16839.918,1168.89979737799
SAMPLE,13381.167,609.514383123542
SAMPLE,7204.366,295.630594130726
SAMPLE,3298.3603,130.228655653244
SAMPLE,885.6455,41.7417669998978
SAMPLE,263.76513,10.6449925701221
SAMPLE,193.28086,3.21773272253391
SAMPLE,164.5926,2.19338306602034
DOSE,0,NA
SAMPLE,2844.6238,7233.10861696413
SAMPLE,1475.3101,2553.4543369088
SAMPLE,986.39226,1187.79820261121
SAMPLE,753.21734,369.459236779124
SAMPLE,617.39695,103.733939080236
SAMPLE,428.01225,29.4217559910239
SAMPLE,212.17637,7.71182336369644
SAMPLE,107.30468,3.35557797290122
SAMPLE,55.25782,2.76091847562696
DOSE,0,NA
SAMPLE,34922.276,12713.6600586251
SAMPLE,31724.718,4698.33261688135
SAMPLE,27939.894,1369.4032995989
SAMPLE,19638.384,538.20659175984
SAMPLE,15125.596,298.013233747209
SAMPLE,12595.157,97.5176653724876
SAMPLE,10900.729,22.1280759940696
SAMPLE,10010.196,6.23172472886098
SAMPLE,9371.302,2.86025479504544
DOSE,0,NA
SAMPLE,16618.036,17949.5381606607
SAMPLE,9715.565,12547.3807001622
SAMPLE,5470.69,8995.23308199401
SAMPLE,2558.0146,2069.46074247824
SAMPLE,1767.4351,589.633718366828
SAMPLE,1106.5085,193.833650671223
SAMPLE,480.82238,41.0500267169001
SAMPLE,213.33452,93.6981692675437
SAMPLE,97.210266,61.8763102508752
DOSE,0,NA
SAMPLE,25260.794,19727.4245625143
SAMPLE,20111.54,7088.60227297081
SAMPLE,15738.454,5148.42819457033
SAMPLE,10186.69,1214.89535348278
SAMPLE,7888.1693,431.342469599063
SAMPLE,5474.1855,84.7836046269744
SAMPLE,2785.041,46.960141178841
SAMPLE,1477.1563,41.6833564906728
SAMPLE,829.9925,11.0298329807533
SAMPLE,119.40093,2.29640128308225
DOSE,0,NA
SAMPLE,30353.268,4618.46736890641
SAMPLE,25662.382,1271.56409758481
SAMPLE,20722.267,697.385536358894
SAMPLE,13063.9305,253.064289327363
SAMPLE,10463.428,113.019807713746
SAMPLE,8890.242,44.7739265099686
SAMPLE,7442.5325,20.3753127181673
SAMPLE,6412.3783,11.0116122998323
SAMPLE,5554.6155,5.61750702671516
DOSE,0,NA
SAMPLE,22551.796,38923.240827234
SAMPLE,16773.804,19140.424034787
SAMPLE,12170.89,8463.13073282302
SAMPLE,7213.6827,1669.68952261177
SAMPLE,4629.1347,1241.84629890703
SAMPLE,2370.6934,699.690128384686
SAMPLE,1079.0871,274.918015877092
SAMPLE,700.15126,94.5952772711005
SAMPLE,499.12587,14.780764255749
DOSE,0,NA
SAMPLE,21676.102,32413.4089908546
SAMPLE,17375.675,15263.444437355
SAMPLE,13270.448,7572.71607524082
SAMPLE,6277.315,1605.74827792931
SAMPLE,2405.7899,501.336629557174
SAMPLE,518.35287,193.970740796219
SAMPLE,202.26295,49.2040707028668
SAMPLE,174.19854,29.1216871938196
SAMPLE,157.51651,19.9474407866277
DOSE,0,NA
SAMPLE,31345.182,8232.43887121181
SAMPLE,29489.466,4878.50621410098
SAMPLE,27943.892,3069.02376100023
SAMPLE,23864.155,2122.59654413762
SAMPLE,19212.72,1473.10916499223
SAMPLE,12907.164,1335.14672845782
SAMPLE,6445.7617,784.286665735976
SAMPLE,3632.5493,251.39436581741
SAMPLE,2315.513,133.558807592777
SAMPLE,544.86763,6.19301725097483
DOSE,0,NA
SAMPLE,12385.328,38264.0747626619
SAMPLE,6855.5684,19394.4120203381
SAMPLE,4084.302,10065.6935408805
SAMPLE,1876.5714,3152.18931596245
SAMPLE,1056.8695,1009.0226412632
SAMPLE,723.8095,350.407513420035
SAMPLE,589.2653,110.262412275093
SAMPLE,514.1873,96.7593910482141
SAMPLE,455.59758,57.333995202703
SAMPLE,193.59535,3.21054511762496
DOSE,0,NA
SAMPLE,32847.916,9016.54466249013
SAMPLE,29014.27,2163.52761563599
SAMPLE,24495.783,661.537677843662
