TYPE,CONC_NM_PBPK_pred,DV_NM
SAMPLE,217.78446,40.425102012805
SAMPLE,107.49763,6.921790879233
SAMPLE,57.346452,2.93459531068589
DOSE,0,NA
SAMPLE,12606.597,1286.83618953651
SAMPLE,5989.002,1168.89979737799
SAMPLE,2894.0275,609.514383123542
SAMPLE,522.0686,295.630594130726
SAMPLE,113.90074,130.228655653244
SAMPLE,39.45464,41.7417669998978
SAMPLE,7.922615,10.6449925701221
SAMPLE,2.555911,3.21773272253391
SAMPLE,2.3393256,2.19338306602034
DOSE,0,NA
SAMPLE,4282.7535,7233.10861696413
SAMPLE,2629.6515,2553.4543369088
SAMPLE,2174.74,1187.79820261121
SAMPLE,1411.8186,369.459236779124
SAMPLE,785.322,103.733939080236
SAMPLE,252.7065,29.4217559910239
SAMPLE,34.998577,7.71182336369644
SAMPLE,12.258441,3.35557797290122
SAMPLE,8.902525,2.76091847562696
DOSE,0,NA
SAMPLE,26794.952,12713.6600586251
SAMPLE,18804.808,4698.33261688135
SAMPLE,11749.463,1369.4032995989
SAMPLE,3141.733,538.20659175984
SAMPLE,914.73585,298.013233747209
SAMPLE,107.54039,97.5176653724876
SAMPLE,4.197177,22.1280759940696
SAMPLE,0.53750793,6.23172472886098
SAMPLE,0.10645749,2.86025479504544
DOSE,0,NA
SAMPLE,28696.257,17949.5381606607
SAMPLE,21559.494,12547.3807001622
SAMPLE,13865.869,8995.23308199401
SAMPLE,2501.1375,2069.46074247824
SAMPLE,252.60827,589.633718366828
SAMPLE,74.07859,193.833650671223
SAMPLE,30.957738,41.0500267169001
SAMPLE,29.265795,93.6981692675437
SAMPLE,7.377868,61.8763102508752
DOSE,0,NA
SAMPLE,25305.735,19727.4245625143
SAMPLE,18028.566,7088.60227297081
SAMPLE,10764.099,5148.42819457033
SAMPLE,1513.1071,1214.89535348278
SAMPLE,233.1693,431.342469599063
SAMPLE,114.38201,84.7836046269744
SAMPLE,70.47969,46.960141178841
SAMPLE,17.088389,41.6833564906728
SAMPLE,9.153871,11.0298329807533
SAMPLE,3.5524615,2.29640128308225
DOSE,0,NA
SAMPLE,18968.29,4618.46736890641
SAMPLE,10571.242,1271.56409758481
SAMPLE,4614.1024,697.385536358894
SAMPLE,540.05444,253.064289327363
SAMPLE,201.44425,113.019807713746
SAMPLE,25.083628,44.7739265099686
SAMPLE,1.731011,20.3753127181673
SAMPLE,0.745594,11.0116122998323
SAMPLE,0.3596911,5.61750702671516
DOSE,0,NA
SAMPLE,33078.33,38923.240827234
SAMPLE,28396.33,19140.424034787
SAMPLE,22515.747,8463.13073282302
SAMPLE,9302.604,1669.68952261177
SAMPLE,2865.3142,1241.84629890703
SAMPLE,692.0398,699.690128384686
SAMPLE,311.33476,274.918015877092
SAMPLE,64.28316,94.5952772711005
SAMPLE,39.252955,14.780764255749
DOSE,0,NA
SAMPLE,8565.629,32413.4089908546
SAMPLE,4733.0613,15263.444437355
SAMPLE,2982.528,7572.71607524082
SAMPLE,1658.0013,1605.74827792931
SAMPLE,1153.6392,501.336629557174
SAMPLE,566.12325,193.970740796219
SAMPLE,145.95723,49.2040707028668
SAMPLE,59.56365,29.1216871938196
SAMPLE,33.416726,19.9474407866277
DOSE,0,NA
SAMPLE,27886.963,8232.43887121181
SAMPLE,21278.751,4878.50621410098
SAMPLE,15124.46,3069.02376100023
SAMPLE,5777.2627,2122.59654413762
SAMPLE,1852.7552,1473.10916499223
SAMPLE,535.3629,1335.14672845782
SAMPLE,132.93093,784.286665735976
SAMPLE,60.160287,251.39436581741
SAMPLE,47.145393,133.558807592777
SAMPLE,3.8342455,6.19301725097483
DOSE,0,NA
SAMPLE,22431.36,38264.0747626619
SAMPLE,21019.102,19394.4120203381
SAMPLE,19122.894,10065.6935408805
SAMPLE,13432.179,3152.18931596245
SAMPLE,8074.374,1009.0226412632
SAMPLE,3067.7955,350.407513420035
SAMPLE,531.75443,110.262412275093
SAMPLE,180.20996,96.7593910482141
SAMPLE,85.91124,57.333995202703
SAMPLE,15.3924525,3.21054511762496
DOSE,0,NA
SAMPLE,22192.299,9016.54466249013
SAMPLE,13612.282,2163.52761563599
SAMPLE,6940.6395,661.537677843662
SAMPLE,662.0917,185.483560942324
SAMPLE,96.73792,76.6006758620533
SAMPLE,70.120595,33.961231988706
SAMPLE,26.910096,13.2920568528215
SAMPLE,14.507224,3.39480250720352
SAMPLE,3.6337425,2.25075624730784
DOSE,0,NA
SAMPLE,12558.6,6243.82311195234
SAMPLE,5904.3975,2122.5987140722
SAMPLE,2990.14,1134.67185779052
SAMPLE,612.44607,349.886980421751
SAMPLE,205.93806,107.109719124646
SAMPLE,62.588945,35.8589044766342
SAMPLE,27.800385,6.67695120452573
SAMPLE,15.600825,1.91779778481657
DOSE,0,NA
SAMPLE,23396.505,8619.90570716099
SAMPLE,14709.266,1588.49738489019
SAMPLE,7447.0305,676.253026733554
SAMPLE,1154.7122,163.794571732716
SAMPLE,309.1591,73.9890622022736
SAMPLE,37.35587,46.0470056617595
SAMPLE,0.88852405,14.068550515053
SAMPLE,0.06601308,4.08172208547519
SAMPLE,0.013557534,2.03610409016432
DOSE,0,NA
SAMPLE,21000.78,12204.686614148
SAMPLE,13806.982,3509.29416636732
SAMPLE,8492.418,1202.2458226578
SAMPLE,1985.4039,405.090708348206
SAMPLE,343.9912,189.343675557868
SAMPLE,97.660765,124.036329142712
SAMPLE,31.032678,40.1149951181412
SAMPLE,24.452092,9.16241796922274
SAMPLE,5.0767697,5.84184377510158
DOSE,0,NA
SAMPLE,4787.0936,6101.38904217936
SAMPLE,3722.6608,2592.162934412
SAMPLE,3356.0038,1757.35015292524
SAMPLE,2748.1117,1337.63397912811
SAMPLE,2052.7194,974.847268274039
SAMPLE,1148.511,638.879035064008
SAMPLE,389.0625,384.70287590136
SAMPLE,163.14594,160.8390965415
SAMPLE,90.98569,83.9343907733477
SAMPLE,16.709784,4.37019119504796
DOSE,0,NA
SAMPLE,30651.352,8245.58532063215
SAMPLE,26334.255,4581.1745830367
SAMPLE,20929.937,3289.814601661
SAMPLE,8691.119,1913.91445907093
SAMPLE,2545.0788,1329.34443147719
SAMPLE,549.07924,880.523154903336
SAMPLE,179.5884,569.47745946724
SAMPLE,96.41538,388.136293083378
SAMPLE,24.45054,309.60022103982
SAMPLE,12.331116,23.4502910618066
DOSE,0,NA
SAMPLE,12398.983,1281.94895678035
SAMPLE,7173.3236,451.166252883651
SAMPLE,4917.4757,267.979883507865
SAMPLE,2264.3232,177.955580490107
SAMPLE,1037.9653,84.7686575683009
SAMPLE,331.46816,18.2743684179011
SAMPLE,63.55909,12.1153146566233
SAMPLE,26.240995,7.44378957694203
SAMPLE,16.209865,5.04280443882009
DOSE,0,NA
SAMPLE,12398.983,13541.0823243233
SAMPLE,7173.3236,7394.30984233308
SAMPLE,4917.4757,3334.33466965439
SAMPLE,2264.3232,1483.34827239362
SAMPLE,1037.9653,617.311610509376
SAMPLE,331.46816,124.537146865019
SAMPLE,63.55909,45.8686090769217
SAMPLE,26.240995,38.1822476420826
SAMPLE,16.209865,18.4827604318797
DOSE,0,NA
SAMPLE,30038.414,18526.5500197415
SAMPLE,22780.457,4783.18755802466
SAMPLE,16391.762,2242.12321000963
SAMPLE,5554.0195,870.131515576425
SAMPLE,1498.9178,402.504356182399
SAMPLE,389.4292,223.689156259483
SAMPLE,109.70653,114.656980940952
SAMPLE,52.79369,82.0800609015539
SAMPLE,41.44595,57.1461733973461
SAMPLE,3.933313,4.41555564148507
DOSE,0,NA
SAMPLE,14407.807,43082.287620515
SAMPLE,10973.479,36012.1808229058
SAMPLE,9030.8485,23023.2267504299
SAMPLE,7129.634,18230.9555852735
SAMPLE,5913.341,15830.3788746304
SAMPLE,3783.003,9740.90255205793
SAMPLE,1353.0393,5686.59422298508
SAMPLE,569.6335,2831.98442481572
SAMPLE,288.88708,1989.66953062908
SAMPLE,4.187939,139.747900622213
DOSE,0,NA
SAMPLE,10973.479,38779.1279415439
SAMPLE,9030.8485,33191.5974178861
SAMPLE,8195.683,29443.0624016504
SAMPLE,7129.634,22428.2904890096
SAMPLE,5913.341,16309.8504474922
SAMPLE,3783.003,9138.39927964204
SAMPLE,1353.0393,5082.79943690562
SAMPLE,569.6335,1360.7775605832
SAMPLE,288.88708,712.233401204326
SAMPLE,4.187939,47.7150530048433
DOSE,0,NA
SAMPLE,6832.131,12223.2886734252
SAMPLE,3777.499,4707.37069173309
SAMPLE,2728.3137,2352.94960068574
SAMPLE,1641.1909,387.993070736607
SAMPLE,952.1022,103.216739292547
SAMPLE,450.6702,46.8701524307649
SAMPLE,215.9929,21.852073165673
SAMPLE,132.96098,7.07181318436933
SAMPLE,88.587604,5.2282340972685
DOSE,0,NA
SAMPLE,22475.811,4822.31746680625
SAMPLE,11867.76,3310.27374870683
SAMPLE,4296.616,2834.25999383889
SAMPLE,115.29864,1917.41966945531
SAMPLE,39.60578,1369.03974836947
SAMPLE,20.929616,747.738369140854
SAMPLE,3.7063276,328.062261996092
SAMPLE,2.093538,197.009431153481
SAMPLE,1.9973787,165.268255326396
SAMPLE,0.043677595,80.6181354074502
DOSE,0,NA
SAMPLE,26301.874,24180.1551819983
SAMPLE,24442.18,9983.37984383913
SAMPLE,22503.836,5624.85088924455
SAMPLE,17051.126,4208.40513040691
SAMPLE,11494.4515,4107.96268446678
SAMPLE,5547.928,2853.12168003112
SAMPLE,1427.0836,2261.71352796313
SAMPLE,559.7534,1372.89938286887
SAMPLE,180.07046,1015.6155218694
SAMPLE,32.1854,270.658711507004
DOSE,0,NA
SAMPLE,13357.048,30258.8976290244
SAMPLE,8825.838,13573.300597543
SAMPLE,6517.12,8136.11701677773
SAMPLE,4654.666,3211.04955447768
SAMPLE,3524.907,826.098691253474
SAMPLE,1740.5496,233.763341346796
SAMPLE,409.50516,68.3825485406767
SAMPLE,141.07537,87.2240644479553
SAMPLE,70.75454,13.3393242655773
DOSE,0,NA
SAMPLE,4134.722,1122.56803149664
SAMPLE,3010.2477,980.479761296935
SAMPLE,2418.0126,731.933359774956
SAMPLE,1468.0796,532.098400868784
SAMPLE,744.10975,379.079730056077
SAMPLE,220.41708,178.468842211409
SAMPLE,43.283075,55.0941587708986
SAMPLE,8.116309,17.2260514645929
SAMPLE,4.1627698,6.28662073904598
DOSE,0,NA
SAMPLE,17013.502,10551.2569048774
SAMPLE,12424.416,7408.56681275702
SAMPLE,8494.647,4035.64126378929
SAMPLE,4059.957,3326.92249292125
SAMPLE,1825.7254,3108.21108624018
SAMPLE,407.87902,2505.00946835661
SAMPLE,79.60619,1910.24733556445
SAMPLE,40.189978,1522.54955272528
SAMPLE,22.49459,1164.81457586255
SAMPLE,1.4951086,324.725022583507
DOSE,0,NA
SAMPLE,17013.502,11992.7010269949
SAMPLE,12424.416,5521.22562023954
SAMPLE,8494.647,4286.14515796696
SAMPLE,4059.957,3627.40517946845
SAMPLE,1825.7254,3096.36499218998
SAMPLE,407.87902,2613.84306905657
SAMPLE,79.60619,2160.78436676486
SAMPLE,40.189978,1578.06924212965
SAMPLE,22.49459,1164.61099121518
SAMPLE,1.4951086,329.126063872217
DOSE,0,NA
SAMPLE,8764.501,944.428514095572
SAMPLE,2921.258,654.382202118996
SAMPLE,951.85065,397.037824059759
SAMPLE,213.45873,208.778342278455
SAMPLE,33.82343,58.9359877198087
SAMPLE,3.5981403,8.37040797399932
DOSE,0,NA
SAMPLE,8875.267,8114.04505153298
SAMPLE,5346.262,1502.32955425577
SAMPLE,3119.149,1010.29359327714
SAMPLE,1462.3591,499.395893122447
SAMPLE,920.10415,196.087912245241
SAMPLE,351.78438,55.7935272865739
SAMPLE,65.29989,9.66276943689006
SAMPLE,23.682661,5.57923599089009
SAMPLE,12.858856,2.82882175844766
DOSE,0,NA
SAMPLE,8875.267,5982.59467835056
SAMPLE,5346.262,1391.92872251217
SAMPLE,3119.149,981.326674618933
SAMPLE,1462.3591,524.654887393214
SAMPLE,920.10415,209.526782552888
SAMPLE,351.78438,52.9528466671707
SAMPLE,65.29989,12.286737943276
SAMPLE,23.682661,7.9365271848014
SAMPLE,12.858856,5.75091848376091
SAMPLE,1.4049034,2.10769345403696
DOSE,0,NA
SAMPLE,5346.262,1618.46869393059
SAMPLE,2271.1668,797.798367678903
SAMPLE,1462.3591,567.626382705189
SAMPLE,920.10415,336.71125609639
SAMPLE,351.78438,168.626286799681
